DAY,Section,ROOM1,8 to 9,9 to 10,10 to 11,ROOM2,11 to 12,12 to 1,1 to 2,Section(DE),ROOM3,3 to 4,ROOM4,4 to 5,ROOM5,5 to 6
TUE,CSE-26,C-LH-403,X,CN,DAA,C-LH-305,HPC,SE,X,BD_CS-2,C-LH-202,BD(DE),X,X,X,X
TUE,IT-1,C-LH-404,SE,IOT,CN,C-LH-304,DAA,X,X,BD_CS-3,C-LH-203,BD(DE),X,X,X,X
TUE,IT-2,C-WL-302,CN,CN(L),CN(L),C-LH-303,DAA,X,X,BD_CS-4,C-LH-204,BD(DE),X,X,X,X
TUE,IT-3,C-LH-405,X,IOT,SE,C-LH-302,DAA,X,X,BD_CS-5,C-LH-205,BD(DE),X,X,X,X
TUE,IT-4,C-LH-406,X,IOT,CN,C-LH-301,DAA,SE,X,BD_CS-6,C-LH-206,BD(DE),X,X,X,X
TUE,IT-5,C-LH-407,DAA,SE,IOT,X,X,X,X,BD_CS-7,C-LH-207,BD(DE),X,X,X,X
TUE,IT-6,C-LH-408,SE,IOT,CN,X,X,X,X,BD_CS-8,C-LH-208,BD(DE),X,X,X,X
TUE,IT-7,C-LH-409,X,X,DAA,C-WL-302,CN,CN(L),CN(L),BD_CS-9,C-LH-301,BD(DE),X,X,X,X
TUE,CSCE-1,X,X,X,X,C-LH-208,SE,CN,DBMS,BD_CS-10,C-LH-302,BD(DE),X,X,X,X
TUE,CSCE-2,C-WL-401,CN,CN(L),CN(L),C-LH-207,SE,X,X,BD_CS-11,C-LH-303,BD(DE),X,X,X,X
TUE,CSCE-3,C-LH-001,X,X,SE,C-WL-401,DBMS,DBMS(L),DBMS(L),BD_CS-12,C-LH-304,BD(DE),X,X,X,X
TUE,CSSE-1,C-LH-002,X,AI,CN,C-LH-206,IOT,X,X,BD_CS-13,C-LH-305,BD(DE),X,X,X,X
TUE,CSSE-2,C-LH-004,CN,CN(L),CN(L),C-LH-205,SE,X,X,BD_CS-14,X,X,X,X,C-LH-201,BD(DE)
TUE,CSSE-3,C-LH-003,X,SE,AI,C-LH-204,IOT,X,X,BD_CS-15,X,X,X,X,C-LH-202,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_CS-16,X,X,X,X,C-LH-203,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_CS-17,X,X,X,X,C-LH-204,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_CS-18,X,X,X,X,C-LH-205,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,DMDW_CS-1,C-LH-306,DMDW(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_CS-2,C-LH-307,DMDW(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_CS-3,C-LH-308,DMDW(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_CS-4,C-LH-401,DMDW(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CI_CS-1,C-LH-402,CI(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CI_CS-2,C-LH-403,CI(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CI_CS-3,C-LH-404,CI(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CI_CS-4,C-LH-405,CI(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-1,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-2,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-3,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-4,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-5,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,DMDW_IT-6,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CRP_IT-1,X,X,C-LH-301,CRP(DE),X,X
TUE,X,X,X,X,X,X,X,X,X,CRP_IT-2,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CI_IT-1,C-LH-406,CI(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,BD_IT-1,X,X,X,X,C-LH-206,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_IT-2,X,X,X,X,C-LH-207,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_IT-3,X,X,X,X,C-LH-208,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_IT-4,X,X,X,X,C-LH-301,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_IT-5,X,X,X,X,C-LH-302,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,BD_IT-6,X,X,X,X,C-LH-303,BD(DE)
TUE,X,X,X,X,X,X,X,X,X,CG_IT-1,C-LH-407,CG(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,CRP_CE-1,X,X,C-LH-302,CRP(DE),X,X
TUE,X,X,X,X,X,X,X,X,X,AI_CE-1,X,X,C-LH-303,AI(DE),X,X
TUE,X,X,X,X,X,X,X,X,X,AI_CE-2,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,ITC_CE-1,C-LH-408,ITC(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,ITC_CE-2,C-LH-409,ITC(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,PMM_CE-1,C-LH-001,PMM(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,NLP_SE-1,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,NLP_SE-2,X,X,C-LH-304,NLP(DE),X,X
TUE,X,X,X,X,X,X,X,X,X,CI_SE-1,X,X,X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,ML_SE-1,C-LH-002,ML(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,ML_SE-2,C-LH-003,ML(DE),X,X,X,X
TUE,X,X,X,X,X,X,X,X,X,ML_SE-3,C-LH-004,ML(DE),X,X,X,X
WED,CSE-1,C-LH-201,X,X,HPC,C-LH-004,DAA,X,X,CRP_CS-1,X,X,C-LH-201,CRP(DE),X,X
WED,CSE-2,C-LH-202,X,SE,HPC,C-LH-003,CN,DAA,X,CRP_CS-2,X,X,C-LH-202,CRP(DE),X,X
WED,CSE-3,C-WL-101,CN,CN(L),CN(L),C-LH-002,DAA,X,X,CRP_CS-3,X,X,C-LH-203,CRP(DE),X,X
WED,CSE-4,C-LH-203,CN,SE,DAA,C-LH-001,HPC,X,X,CRP_CS-4,X,X,C-LH-204,CRP(DE),X,X
WED,CSE-5,C-LH-204,X,X,SE,C-LH-409,CN,HPC,DAA,AI_CS-1,X,X,X,X,X,X
WED,CSE-6,X,X,X,X,C-LH-408,HPC,CN,SE,AI_CS-2,X,X,C-LH-205,AI(DE),X,X
